name,id,cost,type,rarity,description,keywords,upgrade
Alchemize,ALCHEMIZE,1,Skill,Rare,Procure a random potion.,Exhaust,"{""cost"": 0}"
Anointed,ANOINTED,1,Skill,Rare,Put every [gold]Rare[/gold] card from your [gold]Draw Pile[/gold] into your [gold]Hand[/gold].,Exhaust,"{""add_retain"": 1}"
Automation,AUTOMATION,1,Power,Uncommon,"Every 10 cards you draw, gain [energy:1].",,"{""cost"": 0}"
Beacon of Hope,BEACON_OF_HOPE,1,Power,Rare,"Whenever you gain [gold]Block[/gold] on your turn, other players gain half that much [gold]Block[/gold].",,"{""add_innate"": 1}"
Beat Down,BEAT_DOWN,3,Skill,Rare,Play 3 random Attacks from your [gold]Discard Pile[/gold].,,"{""cards"": ""+1""}"
Believe in You,BELIEVE_IN_YOU,0,Skill,Uncommon,Another player gains [energy:3].,,"{""energy"": ""+1""}"
Bolas,BOLAS,0,Attack,Rare,"Deal 3 damage.
At the start of your next turn, return this to your [gold]Hand[/gold].",,"{""damage"": ""+1""}"
Calamity,CALAMITY,3,Power,Rare,"Whenever you play an Attack, add a random Attack into your [gold]Hand[/gold].",,"{""cost"": 2}"
Catastrophe,CATASTROPHE,2,Skill,Uncommon,Play 2 random cards from your [gold]Draw Pile[/gold].,,"{""cards"": ""+1""}"
Coordinate,COORDINATE,1,Skill,Uncommon,Give another player 5 [gold]Strength[/gold] this turn.,,"{""strength"": ""+3""}"
Dark Shackles,DARK_SHACKLES,0,Skill,Uncommon,Enemy loses 9 [gold]Strength[/gold] this turn.,Exhaust,"{""strengthloss"": ""+6""}"
Discovery,DISCOVERY,1,Skill,Uncommon,Choose 1 of 3 random cards to add into your [gold]Hand[/gold]. It costs 0 [energy:1] this turn.,Exhaust,"{""remove_exhaust"": 1}"
Dramatic Entrance,DRAMATIC_ENTRANCE,0,Attack,Uncommon,Deal 11 damage to ALL enemies.,Exhaust|Innate,"{""damage"": ""+4""}"
Entropy,ENTROPY,1,Power,Rare,"At the start of your turn, [gold]Transform[/gold] 1 card in your [gold]Hand[/gold].",,"{""add_innate"": 1}"
Equilibrium,EQUILIBRIUM,2,Skill,Uncommon,"Gain 13 [gold]Block[/gold].
[gold]Retain[/gold] your [gold]Hand[/gold] this turn.",,"{""block"": ""+3""}"
Eternal Armor,ETERNAL_ARMOR,3,Power,Rare,Gain 7 [gold]Plating[/gold].,,"{""platingpower"": ""+2""}"
Fasten,FASTEN,1,Power,Uncommon,Gain an additional 5 [gold]Block[/gold] from Defend cards.,,"{""extrablock"": ""+2""}"
Finesse,FINESSE,0,Skill,Uncommon,"Gain 4 [gold]Block[/gold].
Draw 1 card.",,"{""block"": ""+3""}"
