name,id,cost,type,rarity,description,keywords,tags,damage,block,upgrade
Adaptive Strike,ADAPTIVE_STRIKE,2,Attack,Rare,"Deal 18 damage.
Add a 0[energy:1] copy of this card into your [gold]Discard Pile[/gold].",,Strike,18,,"{""damage"": ""+5""}"
All for One,ALL_FOR_ONE,2,Attack,Rare,"Deal 10 damage.
Put ALL 0[energy:1] cards from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold].",,,10,,"{""damage"": ""+4""}"
Ball Lightning,BALL_LIGHTNING,1,Attack,Common,"Deal 7 damage.
[gold]Channel[/gold] 1 [gold]Lightning[/gold].",,,7,,"{""damage"": ""+3""}"
Barrage,BARRAGE,1,Attack,Common,Deal 5 damage for each [gold]Channeled[/gold] Orb.[InCombat],,,5,,"{""damage"": ""+2""}"
Beam Cell,BEAM_CELL,0,Attack,Common,"Deal 3 damage.
Apply 1 [gold]Vulnerable[/gold].",,,3,,"{""damage"": ""+1"", ""vulnerable"": ""+1""}"
Biased Cognition,BIASED_COGNITION,1,Power,Ancient,"Gain 4 [gold]Focus[/gold].
At the start of your turn, lose 1 [gold]Focus[/gold].",,,,,"{""focuspower"": ""+1""}"
Boost Away,BOOST_AWAY,0,Skill,Common,"Gain 6 [gold]Block[/gold].
Add a [gold]Dazed[/gold] into your [gold]Discard Pile[/gold].",,,,6,"{""block"": ""+3""}"
Boot Sequence,BOOT_SEQUENCE,0,Skill,Uncommon,Gain 10 [gold]Block[/gold].,Exhaust|Innate,,,10,"{""block"": ""+3""}"
Buffer,BUFFER,2,Power,Rare,Prevent the next time you would lose HP.,,,,,"{""bufferpower"": ""+1""}"
Bulk Up,BULK_UP,2,Power,Uncommon,"Lose 1 Orb Slot.
Gain 2 [gold]Strength[/gold].
Gain 2 [gold]Dexterity[/gold].",,,,,"{""strength"": ""+1"", ""dexterity"": ""+1""}"
Capacitor,CAPACITOR,1,Power,Uncommon,Gain 2 Orb Slots.,,,,,"{""repeat"": ""+1""}"
Chaos,CHAOS,1,Skill,Uncommon,[gold]Channel[/gold] 1 random Orb.,,,,,"{""repeat"": ""+1""}"
Charge Battery,CHARGE_BATTERY,1,Skill,Common,"Gain 7 [gold]Block[/gold].
Next turn, gain [energy:1].",,,,7,"{""block"": ""+3""}"
Chill,CHILL,0,Skill,Uncommon,[gold]Channel[/gold] 1 [gold]Frost[/gold] for each enemy.,Exhaust,,,,"{""remove_exhaust"": 1}"
Claw,CLAW,0,Attack,Common,"Deal 3 damage.
Increase the damage of ALL Claw cards by 2 this combat.",,,3,,"{""damage"": ""+1"", ""increase"": ""+1""}"
Cold Snap,COLD_SNAP,1,Attack,Common,"Deal 6 damage.
[gold]Channel[/gold] 1 [gold]Frost[/gold].",,,6,,"{""damage"": ""+3""}"
Compact,COMPACT,1,Skill,Uncommon,"Gain 6 [gold]Block[/gold].
[gold]Transform[/gold] all Status cards in your [gold]Hand[/gold] into [gold]Fuel[/gold].",,,,6,"{""block"": ""+1""}"
Compile Driver,COMPILE_DRIVER,1,Attack,Common,"Deal 7 damage.
Draw 1 card for each unique Orb you have.[InCombat]",,,7,,"{""damage"": ""+3""}"
Consuming Shadow,CONSUMING_SHADOW,2,Power,Rare,"[gold]Channel[/gold] 2 [gold]Dark[/gold].
At the end of your turn, [gold]Evoke[/gold] your leftmost Orb.",,,,,"{""repeat"": ""+1""}"
Coolant,COOLANT,1,Power,Rare,"At the start of your turn, gain 2 [gold]Block[/gold] for each unique Orb you have.",,,,,"{""coolantpower"": ""+1""}"
Coolheaded,COOLHEADED,1,Skill,Common,"[gold]Channel[/gold] 1 [gold]Frost[/gold].
Draw 1 card.",,,,,"{""cards"": ""+1""}"
Creative AI,CREATIVE_AI,3,Power,Rare,"At the start of your turn, add a random Power into your [gold]Hand[/gold].",,,,,"{""cost"": 2}"
Darkness,DARKNESS,1,Skill,Uncommon,"[gold]Channel[/gold] 1 [gold]Dark[/gold].
Trigger the passive ability of all [gold]Dark[/gold] Orbs.",,,,,{}
Defend,DEFEND_DEFECT,1,Skill,Basic,Gain 5 [gold]Block[/gold].,,Defend,,5,"{""block"": ""+3""}"
Defragment,DEFRAGMENT,1,Power,Rare,Gain 1 [gold]Focus[/gold].,,,,,"{""focuspower"": ""+1""}"
Double Energy,DOUBLE_ENERGY,1,Skill,Uncommon,Double your Energy.,Exhaust,,,,"{""cost"": 0}"
Dualcast,DUALCAST,1,Skill,Basic,[gold]Evoke[/gold] your rightmost Orb twice.,,,,,"{""cost"": 0}"
Echo Form,ECHO_FORM,3,Power,Rare,The first card you play each turn is played an extra time.,Ethereal,,,,"{""remove_ethereal"": 1}"
Energy Surge,ENERGY_SURGE,1,Skill,Uncommon,ALL players gain [energy:2].,Exhaust,,,,"{""energy"": ""+1""}"
FTL,FTL,0,Attack,Uncommon,"Deal 5 damage.
If you have played fewer than 3 cards this turn, draw 1 card.",,,5,,"{""damage"": ""+1"", ""playmax"": ""+1""}"
Feral,FERAL,2,Power,Uncommon,"The first time you play a
0[energy:1] Attack each turn,
return it to your [gold]Hand[/gold].",,,,,"{""cost"": 1}"
Fight Through,FIGHT_THROUGH,1,Skill,Uncommon,"Gain 13 [gold]Block[/gold].
Add 2 [gold]Wounds[/gold] into your [gold]Discard Pile[/gold].",,,,13,"{""block"": ""+4""}"
