name,id,hp_min,hp_max,type,act
The Architect,ARCHITECT,,,Normal,
Assassin Raider,ASSASSIN_RUBY_RAIDER,,,Normal,
Axe Raider,AXE_RUBY_RAIDER,,,Normal,
Axebot,AXEBOT,,,Normal,
Battle Friend V1.0,BATTLE_FRIEND_V1,,,Normal,
Battle Friend V2.0,BATTLE_FRIEND_V2,,,Normal,
Battle Friend V3.0,BATTLE_FRIEND_V3,,,Normal,
Bowlbug (Egg),BOWLBUG_EGG,,,Normal,
Bowlbug (Nectar),BOWLBUG_NECTAR,,,Normal,
Bowlbug (Rock),BOWLBUG_ROCK,,,Normal,
Bowlbug (Silk),BOWLBUG_SILK,,,Normal,
Brute Raider,BRUTE_RUBY_RAIDER,,,Normal,
Bygone Effigy,BYGONE_EFFIGY,,,Elite,
Byrdonis,BYRDONIS,,,Elite,
Byrdpip,BYRDPIP,,,Normal,
Calcified Cultist,CALCIFIED_CULTIST,,,Normal,
Ceremonial Beast,CEREMONIAL_BEAST,,,Boss,
Chomper,CHOMPER,,,Normal,
Corpse Slug,CORPSE_SLUG,,,Normal,
Crossbow Raider,CROSSBOW_RUBY_RAIDER,,,Normal,
Crusher,CRUSHER,,,Boss,
Cubex Construct,CUBEX_CONSTRUCT,,,Normal,
Damp Cultist,DAMP_CULTIST,,,Normal,
Decimillipede,DECIMILLIPEDE_SEGMENT,,,Normal,
Devoted Sculptor,DEVOTED_SCULPTOR,,,Normal,
Door,DOOR,,,Boss,
Doormaker,DOORMAKER,,,Boss,
Entomancer,ENTOMANCER,,,Elite,
Exoskeleton,EXOSKELETON,,,Normal,
Eye With Teeth,EYE_WITH_TEETH,,,Normal,
Fabricator,FABRICATOR,,,Normal,
Fat Gremlin,FAT_GREMLIN,,,Normal,
Flail Knight,FLAIL_KNIGHT,,,Elite,
Flyconid,FLYCONID,,,Normal,
Fogmog,FOGMOG,,,Normal,
Fossil Stalker,FOSSIL_STALKER,,,Normal,
Frog Knight,FROG_KNIGHT,,,Normal,
Fuzzy Wurm Crawler,FUZZY_WURM_CRAWLER,,,Normal,
Gas Bomb,GAS_BOMB,,,Normal,
Globe Head,GLOBE_HEAD,,,Normal,
Gremlin Merc,GREMLIN_MERC,,,Normal,
Guardbot,GUARDBOT,,,Normal,
Haunted Ship,HAUNTED_SHIP,,,Normal,
Hunter Killer,HUNTER_KILLER,,,Normal,
Infested Prism,INFESTED_PRISM,,,Elite,
Inklet,INKLET,,,Normal,
