name,id,rarity,pool,image_file,description
"Ashwater",ASHWATER,Uncommon,ironclad,ashwater.png,"[gold]Exhaust[/gold] any number of cards in your [gold]Hand[/gold]."
"Attack Potion",ATTACK_POTION,Common,shared,attack_potion.png,"Choose [blue]1[/blue] of [blue]3[/blue] random Attack cards to add into your [gold]Hand[/gold]. It's free to play this turn."
"Beetle Juice",BEETLE_JUICE,Rare,shared,beetle_juice.png,"Enemy's attacks deal [blue]30%[/blue] less damage for the next [blue]4[/blue] turns."
"Blessing of the Forge",BLESSING_OF_THE_FORGE,Uncommon,shared,blessing_of_the_forge.png,"[gold]Upgrade[/gold] all cards in your [gold]Hand[/gold] for the rest of combat."
"Block Potion",BLOCK_POTION,Common,shared,block_potion.png,"Gain [blue]12[/blue] [gold]Block[/gold]."
"Blood Potion",BLOOD_POTION,Common,ironclad,blood_potion.png,"Heal for [green]20%[/green] of your Max HP."
"Bone Brew",BONE_BREW,Uncommon,necrobinder,bone_brew.png,"[gold]Summon[/gold] [blue]15[/blue]."
"Bottled Potential",BOTTLED_POTENTIAL,Rare,shared,bottled_potential.png,"Shuffle ALL your cards into your [gold]Draw Pile[/gold]. Draw [blue]5[/blue] cards."
"Clarity Extract",CLARITY,Uncommon,shared,clarity.png,"Draw [blue]1[/blue] card. At the start of your next [blue]3[/blue] turns, draw [blue]1[/blue] additional card."
"Colorless Potion",COLORLESS_POTION,Common,shared,colorless_potion.png,"Choose [blue]1[/blue] of [blue]3[/blue] random Colorless cards to add into your [gold]Hand[/gold]. It's free to play this turn."
"Cosmic Concoction",COSMIC_CONCOCTION,Rare,regent,cosmic_concoction.png,"Add [blue]3[/blue] [gold]Upgraded[/gold] Colorless cards into your [gold]Hand[/gold]."
"Cunning Potion",CUNNING_POTION,Uncommon,silent,cunning_potion.png,"Add [blue]3[/blue] [gold]Upgraded Shivs[/gold] into your [gold]Hand[/gold]."
"Cure All",CURE_ALL,Uncommon,shared,cure_all.png,"Gain [energy:1]. Draw [blue]2[/blue] cards."
"Dexterity Potion",DEXTERITY_POTION,Common,shared,dexterity_potion.png,"Gain [blue]2[/blue] [gold]Dexterity[/gold]."
"Distilled Chaos",DISTILLED_CHAOS,Rare,shared,distilled_chaos.png,"Play the top [blue]3[/blue] cards of your [gold]Draw Pile[/gold]."
"Droplet of Precognition",DROPLET_OF_PRECOGNITION,Rare,shared,droplet_of_precognition.png,"Choose a card in your [gold]Draw Pile[/gold] and add it into your [gold]Hand[/gold]."
"Duplicator",DUPLICATOR,Uncommon,shared,duplicator.png,"This turn, your next card is played an extra time."
"Energy Potion",ENERGY_POTION,Common,shared,energy_potion.png,"Gain [energy:2]."
"Entropic Brew",ENTROPIC_BREW,Rare,shared,entropic_brew.png,"Fill all your empty potion slots with random potions."
"Essence of Darkness",ESSENCE_OF_DARKNESS,Rare,defect,essence_of_darkness.png,"[gold]Channel[/gold] a [gold]Dark[/gold] for each of your [gold]Orb Slots[/gold]."
"Explosive Ampoule",EXPLOSIVE_AMPOULE,Common,shared,explosive_ampoule.png,"Deal [blue]10[/blue] damage to ALL enemies."
"Fairy in a Bottle",FAIRY_IN_A_BOTTLE,Rare,shared,fairy_in_a_bottle.png,"When you would die, instead this potion is discarded and you heal to [blue]30%[/blue] of your Max HP."
"Fire Potion",FIRE_POTION,Common,shared,fire_potion.png,"Deal [blue]20[/blue] damage."
"Flex Potion",FLEX_POTION,Common,shared,flex_potion.png,"Gain [blue]5[/blue] [gold]Strength[/gold]. At the end of your turn, lose [blue]5[/blue] [gold]Strength[/gold]."
"Focus Potion",FOCUS_POTION,Common,defect,focus_potion.png,"Gain [blue]2[/blue] [gold]Focus[/gold]."
"Fortifier",FORTIFIER,Uncommon,shared,fortifier.png,"Triple your [gold]Block[/gold]."
"Foul Potion",FOUL_POTION,Event,event,foul_potion.png,"Deal [blue]12[/blue] damage to EVERYONE.
Can be thrown at the [gold]Merchant[/gold] for [blue]100[/blue] [gold]Gold[/gold] instead."
"Fruit Juice",FRUIT_JUICE,Rare,shared,fruit_juice.png,"Gain [blue]5[/blue] Max HP."
"Fysh Oil",FYSH_OIL,Uncommon,shared,fysh_oil.png,"Gain [blue]1[/blue] [gold]Strength[/gold] and [blue]1[/blue] [gold]Dexterity[/gold]."
"Gambler's Brew",GAMBLERS_BREW,Uncommon,shared,gamblers_brew.png,"Discard any number of cards, then draw that many."
"Ghost in a Jar",GHOST_IN_A_JAR,Rare,silent,ghost_in_a_jar.png,"Gain [blue]1[/blue] [gold]Intangible[/gold]."
"Gigantification Potion",GIGANTIFICATION_POTION,Rare,shared,gigantification_potion.png,"The next Attack you play deals triple damage."
"Glowwater Potion",GLOWWATER_POTION,Event,event,glowwater_potion.png,"[gold]Exhaust[/gold] your [gold]Hand[/gold]. Draw [blue]10[/blue] cards."
"Heart of Iron",HEART_OF_IRON,Uncommon,shared,heart_of_iron.png,"Gain [blue]7[/blue] [gold]Plating[/gold]."
"King's Courage",KINGS_COURAGE,Uncommon,regent,kings_courage.png,"[gold]Forge[/gold] [blue]15[/blue]."
"Liquid Bronze",LIQUID_BRONZE,Uncommon,shared,liquid_bronze.png,"Gain [blue]3[/blue] [gold]Thorns[/gold]."
"Liquid Memories",LIQUID_MEMORIES,Rare,shared,liquid_memories.png,"Put a card from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold]. It costs [blue]0[/blue] [energy:1] this turn."
"Lucky Tonic",LUCKY_TONIC,Rare,shared,lucky_tonic.png,"Gain [blue]1[/blue] [gold]Buffer[/gold]."
"Mazaleth's Gift",MAZALETHS_GIFT,Rare,shared,mazaleths_gift.png,"Gain [blue]1[/blue] [gold]Ritual[/gold]."
"Orobic Acid",OROBIC_ACID,Rare,shared,orobic_acid.png,"Add a random Attack, Skill, and Power into your [gold]Hand[/gold]. They're free to play this turn."
"Poison Potion",POISON_POTION,Common,silent,poison_potion.png,"Apply [blue]6[/blue] [gold]Poison[/gold]."
"Pot of Ghouls",POT_OF_GHOULS,Rare,necrobinder,pot_of_ghouls.png,"Add [blue]2[/blue] [gold]Souls[/gold] into your [gold]Hand[/gold]."
"Potion of Binding",POTION_OF_BINDING,Uncommon,shared,potion_of_binding.png,"Apply [blue]1[/blue] [gold]Weak[/gold] and [blue]1[/blue] [gold]Vulnerable[/gold] to ALL enemies."
"Potion of Capacity",POTION_OF_CAPACITY,Uncommon,defect,potion_of_capacity.png,"Gain [blue]2[/blue] [gold]Orb Slots[/gold]."
"Potion of Doom",POTION_OF_DOOM,Common,necrobinder,potion_of_doom.png,"Apply [blue]33[/blue] [gold]Doom[/gold]."
"Potion-Shaped Rock",POTION_SHAPED_ROCK,Token,shared,potion_shaped_rock.png,"Deal [blue]15[/blue] damage."
"Powdered Demise",POWDERED_DEMISE,Uncommon,shared,powdered_demise.png,"Enemy loses [blue]9[/blue] HP at the end of each of its turns."
"Power Potion",POWER_POTION,Common,shared,power_potion.png,"Choose [blue]1[/blue] of [blue]3[/blue] random Power cards to add into your [gold]Hand[/gold]. It's free to play this turn."
"Radiant Tincture",RADIANT_TINCTURE,Uncommon,shared,radiant_tincture.png,"Gain [energy:1]. Gain an additional [energy:1] at the start of your next [blue]3[/blue] turns."
"Regen Potion",REGEN_POTION,Uncommon,shared,regen_potion.png,"Gain [green]5[/green] [gold]Regen[/gold]."
"Shackling Potion",SHACKLING_POTION,Rare,shared,shackling_potion.png,"ALL enemies lose [blue]7[/blue] [gold]Strength[/gold] this turn."
