name,id,image_file
"Akabeko",AKABEKO,akabeko.png
"Alchemical Coffer",ALCHEMICAL_COFFER,alchemical_coffer.png
"Amethyst Aubergine",AMETHYST_AUBERGINE,amethyst_aubergine.png
"Anchor",ANCHOR,anchor.png
"Anchor???",FAKE_ANCHOR,fake_anchor.png
"Arcane Scroll",ARCANE_SCROLL,arcane_scroll.png
"Archaic Tooth",ARCHAIC_TOOTH,archaic_tooth.png
"Art of War",ART_OF_WAR,art_of_war.png
"Astrolabe",ASTROLABE,astrolabe.png
"Bag of Marbles",BAG_OF_MARBLES,bag_of_marbles.png
"Bag of Preparation",BAG_OF_PREPARATION,bag_of_preparation.png
"Beating Remnant",BEATING_REMNANT,beating_remnant.png
"Beautiful Bracelet",BEAUTIFUL_BRACELET,beautiful_bracelet.png
"Bellows",BELLOWS,bellows.png
"Belt Buckle",BELT_BUCKLE,belt_buckle.png
"Big Hat",BIG_HAT,big_hat.png
"Big Mushroom",BIG_MUSHROOM,big_mushroom.png
"Biiig Hug",BIIIG_HUG,biiig_hug.png
"Bing Bong",BING_BONG,bing_bong.png
"Black Blood",BLACK_BLOOD,black_blood.png
"Black Star",BLACK_STAR,black_star.png
"Blessed Antler",BLESSED_ANTLER,blessed_antler.png
"Blood Vial",BLOOD_VIAL,blood_vial.png
"Blood Vial???",FAKE_BLOOD_VIAL,fake_blood_vial.png
"Blood-Soaked Rose",BLOOD_SOAKED_ROSE,blood_soaked_rose.png
"Bone Flute",BONE_FLUTE,bone_flute.png
"Bone Tea",BONE_TEA,bone_tea.png
"Book Repair Knife",BOOK_REPAIR_KNIFE,book_repair_knife.png
"Book of Five Rings",BOOK_OF_FIVE_RINGS,book_of_five_rings.png
"Bookmark",BOOKMARK,bookmark.png
"Booming Conch",BOOMING_CONCH,booming_conch.png
"Bound Phylactery",BOUND_PHYLACTERY,bound_phylactery.png
"Bowler Hat",BOWLER_HAT,bowler_hat.png
"Bread",BREAD,bread.png
"Brilliant Scarf",BRILLIANT_SCARF,brilliant_scarf.png
"Brimstone",BRIMSTONE,brimstone.png
"Bronze Scales",BRONZE_SCALES,bronze_scales.png
"Burning Blood",BURNING_BLOOD,burning_blood.png
