name,id,cost,type,rarity,description,keywords,tags,damage,block,upgrade
Aggression,AGGRESSION,1,Power,Rare,"At the start of your turn, put a random Attack from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold] and [gold]Upgrade[/gold] it.",,,,,"{""add_innate"": 1}"
Anger,ANGER,0,Attack,Common,"Deal 6 damage.
Add a copy of this card into your [gold]Discard Pile[/gold].",,,6,,"{""damage"": ""+2""}"
Armaments,ARMAMENTS,1,Skill,Common,"Gain 5 [gold]Block[/gold].
[gold]Upgrade[/gold] a card in your [gold]Hand[/gold].",,,,5,{}
Ashen Strike,ASHEN_STRIKE,1,Attack,Uncommon,"Deal 9 damage.
Deals 3 additional damage for each card in your [gold]Exhaust Pile[/gold].",,Strike,,,"{""damage"": ""+1"", ""extradamage"": ""+1""}"
Barricade,BARRICADE,3,Power,Rare,[gold]Block[/gold] is not removed at the start of your turn.,,,,,"{""cost"": 2}"
Bash,BASH,2,Attack,Basic,"Deal 8 damage.
Apply 2 [gold]Vulnerable[/gold].",,,8,,"{""damage"": ""+2"", ""vulnerable"": ""+1""}"
Battle Trance,BATTLE_TRANCE,0,Skill,Uncommon,"Draw 3 cards.
You cannot draw additional cards this turn.",,,,,"{""cards"": ""+1""}"
Blood Wall,BLOOD_WALL,2,Skill,Common,"Lose 2 HP.
Gain 16 [gold]Block[/gold].",,,,16,"{""block"": ""+4""}"
Bloodletting,BLOODLETTING,0,Skill,Common,"Lose 3 HP.
Gain [energy:2].",,,,,"{""energy"": ""+1""}"
Bludgeon,BLUDGEON,3,Attack,Uncommon,Deal 32 damage.,,,32,,"{""damage"": ""+10""}"
Body Slam,BODY_SLAM,1,Attack,Common,Deal damage equal to your [gold]Block[/gold].[InCombat],,,,,"{""cost"": 0}"
Brand,BRAND,0,Skill,Rare,"Lose 1 HP.
[gold]Exhaust[/gold] 1 card.
Gain 1 [gold]Strength[/gold].",,,,,"{""strength"": ""+1""}"
Break,BREAK,2,Attack,Ancient,"Deal 20 damage.
Apply 5 [gold]Vulnerable[/gold].",,,20,,"{""damage"": ""+5"", ""vulnerable"": ""+2""}"
Breakthrough,BREAKTHROUGH,1,Attack,Common,"Lose 1 HP.
Deal 9 damage to ALL enemies.",,,9,,"{""damage"": ""+4""}"
Bully,BULLY,0,Attack,Uncommon,"Deal 6 damage.
Deals 2 additional damage for each [gold]Vulnerable[/gold] on the enemy.",,,,,"{""damage"": ""+1"", ""extradamage"": ""+1""}"
Burning Pact,BURNING_PACT,1,Skill,Uncommon,"[gold]Exhaust[/gold] 1 card.
Draw 2 cards.",,,,,"{""cards"": ""+1""}"
Cascade,CASCADE,-1,Skill,Rare,Play the top X cards of your [gold]Draw Pile[/gold].,,,,,{}
Cinder,CINDER,2,Attack,Common,"Deal 17 damage.
[gold]Exhaust[/gold] the top card of your [gold]Draw Pile[/gold].",,,17,,"{""damage"": ""+5""}"
