name,id,description,card_type,stackable
Adroit,ADROIT,Gain [blue]X[/blue] [gold]Block[/gold].,Any,
Clone,CLONE,This card can be duplicated at [gold]Rest Sites[/gold].,Any,
Corrupted,CORRUPTED,"Deal [blue]50%[/blue] more damage, but lose [blue]2[/blue] HP.",Attack,
Favored,FAVORED,This card's attack damage is doubled.,Attack,
Glam,GLAM,This card has [gold]Replay[/gold] once per combat.,Any,
Goopy,GOOPY,"This card gains [gold]Exhaust[/gold]. When played, permanently increase this card's [gold]Block[/gold] by [blue]1[/blue].",Any,
Imbued,IMBUED,This card is played automatically at the start of each combat.,Skill,
Instinct,INSTINCT,Decrease the cost of this card by [blue]1[/blue].,Attack,
Momentum,MOMENTUM,Increase this card's attack damage by [blue]X[/blue] this combat when played.,Attack,
Nimble,NIMBLE,Increases [gold]Block[/gold] gained from this card by [blue]X[/blue].,Any,
Perfect Fit,PERFECT_FIT,"Whenever this would be shuffled into your [gold]Draw Pile[/gold], place it on the top instead.",Any,
Royally Approved,ROYALLY_APPROVED,This card has [gold]Innate[/gold] and [gold]Retain[/gold].,Any,
Sharp,SHARP,Increases damage on this card by [blue]X[/blue].,Attack,
Slither,SLITHER,"When you draw this card, randomize its cost from [blue]0[/blue] to [blue]3[/blue].",Any,
Slumbering Essence,SLUMBERING_ESSENCE,"If this card is in your hand at the end of turn, reduce its cost by [blue]1[/blue] until it is played.",Any,
Soul's Power,SOULS_POWER,This card loses [gold]Exhaust[/gold].,Any,
Sown,SOWN,"The first time you play this card each combat, gain [energy:X].",Any,
Spiral,SPIRAL,This card gains [gold]Replay[/gold] [blue]1[/blue].,Any,
Steady,STEADY,This card gains [gold]Retain[/gold].,Any,
Swift,SWIFT,"The first time you play this card, draw [blue]X[/blue] cards.",Any,
Tezcatara's Ember,TEZCATARAS_EMBER,Costs [blue]0[/blue] and gains [gold]Eternal[/gold].,Any,
Vigorous,VIGOROUS,"The first time this card is played, it deals [blue]X[/blue] additional damage.",Attack,
