name,id,cost,type,rarity,description,keywords,tags,damage,block,upgrade
Afterlife,AFTERLIFE,1,Skill,Common,[gold]Summon[/gold] 6.,Exhaust,,,,"{""summon"": ""+3""}"
Banshee's Cry,BANSHEES_CRY,6,Attack,Rare,"Deal 33 damage to ALL enemies.
Costs [energy:2] less for each [gold]Ethereal[/gold] card played this combat.",,,33,,"{""damage"": ""+6""}"
Blight Strike,BLIGHT_STRIKE,1,Attack,Common,"Deal 8 damage.
Apply [gold]Doom[/gold] equal to damage dealt.",,Strike,8,,"{""damage"": ""+2""}"
Bodyguard,BODYGUARD,1,Skill,Basic,[gold]Summon[/gold] 5.,,,,,"{""summon"": ""+2""}"
Bone Shards,BONE_SHARDS,1,Attack,Uncommon,"If [gold]Osty[/gold] is alive, he deals 9 damage to ALL enemies and you gain 9 [gold]Block[/gold].
[gold]Osty[/gold] dies.",,OstyAttack,9,9,"{""damage"": ""+3"", ""block"": ""+3"", ""ostydamage"": ""+3""}"
Borrowed Time,BORROWED_TIME,0,Skill,Uncommon,"Apply 3 [gold]Doom[/gold] to yourself.
Gain [energy:1].",,,,,"{""energy"": ""+1""}"
Bury,BURY,4,Attack,Uncommon,Deal 52 damage.,,,52,,"{""damage"": ""+11""}"
Calcify,CALCIFY,1,Power,Uncommon,[gold]Osty's[/gold] attacks deal 4 additional damage.,,,,,"{""calcifypower"": ""+2""}"
Call of the Void,CALL_OF_THE_VOID,1,Power,Rare,"At the start of your turn, add 1 random card into your [gold]Hand[/gold]. It gains [gold]Ethereal[/gold].",,,,,"{""add_innate"": 1}"
Capture Spirit,CAPTURE_SPIRIT,1,Skill,Uncommon,"Enemy loses 3 HP.
Add 3 [gold]Souls[/gold] into your [gold]Draw Pile[/gold].",,,3,,"{""damage"": ""+1"", ""cards"": ""+1""}"
Cleanse,CLEANSE,1,Skill,Uncommon,"[gold]Summon[/gold] 3.
[gold]Exhaust[/gold] 1 card from your [gold]Draw Pile[/gold].",,,,,"{""summon"": ""+2""}"
Countdown,COUNTDOWN,1,Power,Uncommon,"At the start of your turn, apply 6 [gold]Doom[/gold] to a random enemy.",,,,,"{""countdownpower"": ""+3""}"
Danse Macabre,DANSE_MACABRE,1,Power,Uncommon,"Whenever you play a card that costs [energy:2] or more, gain 3 [gold]Block[/gold].",,,,,"{""dansemacabrepower"": ""+1""}"
Death March,DEATH_MARCH,1,Attack,Uncommon,"Deal 11 damage.
Deals 3 additional damage for each card drawn during your turn.",,,,,"{""damage"": ""+1"", ""calculationbase"": ""+1"", ""extradamage"": ""+1""}"
