name,id,tier,rarity,pool,description,notes
Ashwater,ASHWATER,C,Uncommon,ironclad,[gold]Exhaust[/gold] any number of cards in your [gold]Hand[/gold].,Exhaust any cards in hand. Niche.
Attack Potion,ATTACK_POTION,B,Common,shared,Choose [blue]1[/blue] of [blue]3[/blue] random Attack cards to add into your [gold]Hand[/gold]. It's free to play this turn.,"Random Attack in hand, costs 0. Variable."
Beetle Juice,BEETLE_JUICE,B,Rare,shared,Enemy's attacks deal [blue]30%[/blue] less damage for the next [blue]4[/blue] turns.,Standard potion. Use when needed.
Blessing of the Forge,BLESSING_OF_THE_FORGE,A,Uncommon,shared,[gold]Upgrade[/gold] all cards in your [gold]Hand[/gold] for the rest of combat.,Upgrade all cards in hand. Massive value.
Block Potion,BLOCK_POTION,B,Common,shared,Gain [blue]12[/blue] [gold]Block[/gold].,+12 Block. Emergency defense.
Blood Potion,BLOOD_POTION,B,Common,ironclad,Heal for [green]20%[/green] of your Max HP.,Heal 20% Max HP. Sustain.
Bone Brew,BONE_BREW,B,Uncommon,necrobinder,[gold]Summon[/gold] [blue]15[/blue].,+15 Summon. Necrobinder scaling.
Bottled Potential,BOTTLED_POTENTIAL,C,Rare,shared,Shuffle ALL your cards into your [gold]Draw Pile[/gold]. Draw [blue]5[/blue] cards.,Upgrade random card in hand until played. Minor.
Clarity Extract,CLARITY,B,Uncommon,shared,"Draw [blue]1[/blue] card. At the start of your next [blue]3[/blue] turns, draw [blue]1[/blue] additional card.",Standard potion. Use when needed.
Colorless Potion,COLORLESS_POTION,B,Common,shared,Choose [blue]1[/blue] of [blue]3[/blue] random Colorless cards to add into your [gold]Hand[/gold]. It's free to play this turn.,"Random Colorless card, costs 0. Variable."
Cosmic Concoction,COSMIC_CONCOCTION,B,Rare,regent,Add [blue]3[/blue] [gold]Upgraded[/gold] Colorless cards into your [gold]Hand[/gold].,Standard potion. Use when needed.
Cunning Potion,CUNNING_POTION,A,Uncommon,silent,Add [blue]3[/blue] [gold]Upgraded Shivs[/gold] into your [gold]Hand[/gold].,Add 3 Shivs to hand. Silent staple.
Cure All,CURE_ALL,B,Uncommon,shared,Gain [energy:1]. Draw [blue]2[/blue] cards.,Heal 10 HP per debuff removed. Situational but strong.
Dexterity Potion,DEXTERITY_POTION,A,Common,shared,Gain [blue]2[/blue] [gold]Dexterity[/gold].,+2 Dexterity. Universal block boost.
Distilled Chaos,DISTILLED_CHAOS,A,Rare,shared,Play the top [blue]3[/blue] cards of your [gold]Draw Pile[/gold].,"Play 3 random cards from draw pile. High variance, high ceiling."
Droplet of Precognition,DROPLET_OF_PRECOGNITION,B,Rare,shared,Choose a card in your [gold]Draw Pile[/gold] and add it into your [gold]Hand[/gold].,Standard potion. Use when needed.
Duplicator,DUPLICATOR,S,Uncommon,shared,"This turn, your next card is played an extra time.",Double a card this combat. Broken with right card.
