name,id,cost,type,rarity,description,keywords,tags,damage,block,upgrade
Alignment,ALIGNMENT,0,Skill,Uncommon,Gain [energy:2].,,,,,"{""energy"": ""+1""}"
Arsenal,ARSENAL,1,Power,Rare,"Whenever you play a Colorless card, gain 1 [gold]Strength[/gold].",,,,,"{""arsenalpower"": ""+1""}"
Astral Pulse,ASTRAL_PULSE,0,Attack,Common,Deal 14 damage to ALL enemies.,,,14,,"{""damage"": ""+4""}"
BEGONE!,BEGONE,1,Attack,Common,"Deal 4 damage.
Choose a card in your [gold]Hand[/gold] to [gold]Transform[/gold] into [gold]Minion Dive Bomb[/gold].",,,4,,"{""damage"": ""+1""}"
Beat into Shape,BEAT_INTO_SHAPE,1,Attack,Rare,"Deal 5 damage.
[gold]Forge[/gold] X.
[gold]Forges[/gold] an additional 5 for every other time you've hit the enemy this turn.",,,5,,"{""damage"": ""+2"", ""calculationbase"": ""+2"", ""calculationextra"": ""+2""}"
Big Bang,BIG_BANG,0,Skill,Rare,"Draw 1 card.
Gain [energy:1].
Gain [star:1].
[gold]Forge[/gold] 5.",Exhaust,,,,"{""add_innate"": 1}"
Black Hole,BLACK_HOLE,1,Power,Uncommon,"Whenever you spend or gain [star:1], deal 3 damage to ALL enemies.",,,,,"{""blackholepower"": ""+1""}"
Bombardment,BOMBARDMENT,3,Attack,Rare,"Deal 18 damage.
At the start of your turn, plays from the [gold]Exhaust Pile[/gold].",Exhaust,,18,,"{""damage"": ""+6""}"
Bulwark,BULWARK,2,Skill,Uncommon,"Gain 13 [gold]Block[/gold].
[gold]Forge[/gold] 10.",,,,13,"{""block"": ""+3"", ""forge"": ""+3""}"
Bundle of Joy,BUNDLE_OF_JOY,2,Skill,Rare,Add 3 random Colorless cards into your [gold]Hand[/gold].,Exhaust,,,,"{""cards"": ""+1""}"
CHARGE!!,CHARGE,1,Skill,Uncommon,"Choose 2 cards in your [gold]Draw Pile[/gold] to [gold]Transform[/gold] into
[gold]Minion Strikes[/gold].",,,,,{}
