name,id,rarity,character,description,pool
Akabeko,AKABEKO,Uncommon Relic,Shared,"At the start of each combat, gain [blue]8[/blue] [gold]Vigor[/gold].",shared
Alchemical Coffer,ALCHEMICAL_COFFER,Ancient Relic,Shared,"Upon pickup, gain [blue]4[/blue] potion slots filled with random potions.",shared
Amethyst Aubergine,AMETHYST_AUBERGINE,Common Relic,Shared,Enemies drop [blue]10[/blue] additional [gold]Gold[/gold].,shared
Anchor,ANCHOR,Common Relic,Shared,Start each combat with [blue]10[/blue] [gold]Block[/gold].,shared
Anchor???,FAKE_ANCHOR,Event Relic,Shared,Start each combat with [blue]4[/blue] [gold]Block[/gold].,shared
Arcane Scroll,ARCANE_SCROLL,Ancient Relic,Shared,"Upon pickup, obtain a random [gold]Rare Card[/gold] to add to your [gold]Deck[/gold].",shared
Archaic Tooth,ARCHAIC_TOOTH,Ancient Relic,Shared,"Upon pickup, [gold]Transform[/gold] a starter card with an ancient version.",shared
Art of War,ART_OF_WAR,Rare Relic,Shared,"If you do not play any Attacks during your turn, gain an additional [energy:1] next turn.",shared
Astrolabe,ASTROLABE,Ancient Relic,Shared,"Upon pickup, [gold]Transform[/gold] [blue]3[/blue] cards, then [gold]Upgrade[/gold] them.",shared
Bag of Marbles,BAG_OF_MARBLES,Uncommon Relic,Shared,"At the start of each combat, apply [blue]1[/blue] [gold]Vulnerable[/gold] to ALL enemies.",shared
Bag of Preparation,BAG_OF_PREPARATION,Common Relic,Shared,"At the start of each combat, draw [blue]2[/blue] additional cards.",shared
Beating Remnant,BEATING_REMNANT,Rare Relic,Shared,You cannot lose more than [blue]20[/blue] HP in a single turn.,shared
Beautiful Bracelet,BEAUTIFUL_BRACELET,Ancient Relic,Shared,"Upon pickup, choose [blue]3[/blue] cards in your [gold]Deck[/gold]. [gold]Enchant[/gold] them with [purple]Swift[/purple] [blue]3[/blue].",shared
Bellows,BELLOWS,Uncommon Relic,Shared,The first [gold]Hand[/gold] you draw each combat is [gold]Upgraded[/gold].,shared
Belt Buckle,BELT_BUCKLE,Shop Relic,Shared,"While you have no potions, you have [blue]2[/blue] additional [gold]Dexterity[/gold].",shared
Big Hat,BIG_HAT,Rare Relic,Shared,"At the start of each combat, add [blue]2[/blue] random [gold]Ethereal[/gold] cards into your [gold]Hand[/gold].",necrobinder
Big Mushroom,BIG_MUSHROOM,Event Relic,Shared,"Upon pickup, raise your Max HP by [blue]20[/blue]. At the start of each combat, draw [blue]2[/blue] fewer cards.",shared
Biiig Hug,BIIIG_HUG,Ancient Relic,Shared,"Upon pickup, remove [blue]4[/blue] cards from your [gold]Deck[/gold]. Whenever you shuffle your [gold]Draw Pile[/gold], add a [gold]Soot[/gold] into your [gold]Draw Pile[/gold].",shared
Bing Bong,BING_BONG,Event Relic,Shared,"Whenever you add a card to your [gold]Deck[/gold], add one additional copy.",shared
Black Blood,BLACK_BLOOD,Starter Relic,Shared,"At the end of combat, heal [green]12[/green] HP.",ironclad
Black Star,BLACK_STAR,Ancient Relic,Shared,[gold]Elites[/gold] drop an additional Relic when defeated.,shared
Blessed Antler,BLESSED_ANTLER,Ancient Relic,Shared,"Gain [energy:1] at the start of each turn. At the start of each combat, shuffle [blue]3[/blue] [gold]Dazed[/gold] into your [gold]Draw Pile[/gold].",shared
Blood Vial,BLOOD_VIAL,Common Relic,Shared,"At the start of each combat, heal [green]2[/green] HP.",shared
Blood Vial???,FAKE_BLOOD_VIAL,Event Relic,Shared,"At the start of each combat, heal [green]1[/green] HP.",shared
Blood-Soaked Rose,BLOOD_SOAKED_ROSE,Ancient Relic,Shared,"Upon pickup, add [blue]1[/blue] [red]Enthralled[/red] to your [gold]Deck[/gold]. Gain [energy:1] at the start of each turn.",shared
Bone Flute,BONE_FLUTE,Common Relic,Shared,"Whenever [gold]Osty[/gold] attacks, gain [blue]2[/blue] [gold]Block[/gold].",necrobinder
Bone Tea,BONE_TEA,Event Relic,Shared,"At the start of the next [blue]2[/blue] combats, [gold]Upgrade[/gold] your starting hand.",shared
Book Repair Knife,BOOK_REPAIR_KNIFE,Uncommon Relic,Shared,"Whenever a non-Minion enemy dies to [gold]Doom[/gold], heal [green]3[/green] HP.",necrobinder
Book of Five Rings,BOOK_OF_FIVE_RINGS,Common Relic,Shared,"Every [blue]5[/blue] cards you add to your [gold]Deck[/gold], heal [green]15[/green] HP.",shared
Bookmark,BOOKMARK,Rare Relic,Shared,"At the end of each turn, lower the cost of a random [gold]Retained[/gold] card by [blue]1[/blue] until played.",necrobinder
Booming Conch,BOOMING_CONCH,Ancient Relic,Shared,"At the start of [gold]Elite[/gold] combats, draw [blue]2[/blue] additional cards.",shared
