name,id,tier,rarity,character,pool,description,notes
Akabeko,AKABEKO,A,Uncommon Relic,Shared,shared,"At the start of each combat, gain [blue]8[/blue] [gold]Vigor[/gold].",8 Vigor at combat start. First attack hits harder.
Alchemical Coffer,ALCHEMICAL_COFFER,B,Ancient Relic,Shared,shared,"Upon pickup, gain [blue]4[/blue] potion slots filled with random potions.",Standard relic. Evaluate based on deck needs.
Amethyst Aubergine,AMETHYST_AUBERGINE,C,Common Relic,Shared,shared,Enemies drop [blue]10[/blue] additional [gold]Gold[/gold].,Enemies drop +10 Gold. Minor gold boost.
Anchor,ANCHOR,A,Common Relic,Shared,shared,Start each combat with [blue]10[/blue] [gold]Block[/gold].,Start with 10 Block. Smooths early turns for all characters.
Anchor???,FAKE_ANCHOR,B,Event Relic,Shared,shared,Start each combat with [blue]4[/blue] [gold]Block[/gold].,Standard relic. Evaluate based on deck needs.
Arcane Scroll,ARCANE_SCROLL,B,Ancient Relic,Shared,shared,"Upon pickup, obtain a random [gold]Rare Card[/gold] to add to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Archaic Tooth,ARCHAIC_TOOTH,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Transform[/gold] a starter card with an ancient version.",Standard relic. Evaluate based on deck needs.
Art of War,ART_OF_WAR,B,Rare Relic,Shared,shared,"If you do not play any Attacks during your turn, gain an additional [energy:1] next turn.",Standard relic. Evaluate based on deck needs.
Astrolabe,ASTROLABE,S,Ancient Relic,Shared,shared,"Upon pickup, [gold]Transform[/gold] [blue]3[/blue] cards, then [gold]Upgrade[/gold] them.",Transform 3 cards + Upgrade. Deck refinement.
Bag of Marbles,BAG_OF_MARBLES,B,Uncommon Relic,Shared,shared,"At the start of each combat, apply [blue]1[/blue] [gold]Vulnerable[/gold] to ALL enemies.",Standard relic. Evaluate based on deck needs.
Bag of Preparation,BAG_OF_PREPARATION,A,Common Relic,Shared,shared,"At the start of each combat, draw [blue]2[/blue] additional cards.",Draw 2 extra cards turn 1. Consistency boost.
Beating Remnant,BEATING_REMNANT,A,Rare Relic,Shared,shared,You cannot lose more than [blue]20[/blue] HP in a single turn.,Cannot lose more than 20 HP per turn. Anti-burst.
Beautiful Bracelet,BEAUTIFUL_BRACELET,B,Ancient Relic,Shared,shared,"Upon pickup, choose [blue]3[/blue] cards in your [gold]Deck[/gold]. [gold]Enchant[/gold] them with [purple]Swift[/purple] [blue]3[/blue].",Standard relic. Evaluate based on deck needs.
Bellows,BELLOWS,B,Uncommon Relic,Shared,shared,The first [gold]Hand[/gold] you draw each combat is [gold]Upgraded[/gold].,Standard relic. Evaluate based on deck needs.
Belt Buckle,BELT_BUCKLE,B,Shop Relic,Shared,shared,"While you have no potions, you have [blue]2[/blue] additional [gold]Dexterity[/gold].",Standard relic. Evaluate based on deck needs.
Big Hat,BIG_HAT,C,Rare Relic,Shared,necrobinder,"At the start of each combat, add [blue]2[/blue] random [gold]Ethereal[/gold] cards into your [gold]Hand[/gold].",2 random Ethereal cards at start. Too inconsistent.
Big Mushroom,BIG_MUSHROOM,C,Event Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]20[/blue]. At the start of each combat, draw [blue]2[/blue] fewer cards.","+20 Max HP, draw 2 fewer turn 1. HP vs consistency tradeoff."
Biiig Hug,BIIIG_HUG,B,Ancient Relic,Shared,shared,"Upon pickup, remove [blue]4[/blue] cards from your [gold]Deck[/gold]. Whenever you shuffle your [gold]Draw Pile[/gold], add a [gold]Soot[/gold] into your [gold]Draw Pile[/gold].",Standard relic. Evaluate based on deck needs.
Bing Bong,BING_BONG,B,Event Relic,Shared,shared,"Whenever you add a card to your [gold]Deck[/gold], add one additional copy.","Add card = add copy. Doubles picks, doubles dilution."
Black Blood,BLACK_BLOOD,S,Starter Relic,Shared,ironclad,"At the end of combat, heal [green]12[/green] HP.",Upgrade. Heal 12 HP after combat. Keep Ironclad healthy.
Black Star,BLACK_STAR,B,Ancient Relic,Shared,shared,[gold]Elites[/gold] drop an additional Relic when defeated.,Standard relic. Evaluate based on deck needs.
Blessed Antler,BLESSED_ANTLER,B,Ancient Relic,Shared,shared,"Gain [energy:1] at the start of each turn. At the start of each combat, shuffle [blue]3[/blue] [gold]Dazed[/gold] into your [gold]Draw Pile[/gold].",Standard relic. Evaluate based on deck needs.
Blood Vial,BLOOD_VIAL,B,Common Relic,Shared,shared,"At the start of each combat, heal [green]2[/green] HP.",Standard relic. Evaluate based on deck needs.
Blood Vial???,FAKE_BLOOD_VIAL,B,Event Relic,Shared,shared,"At the start of each combat, heal [green]1[/green] HP.",Standard relic. Evaluate based on deck needs.
Blood-Soaked Rose,BLOOD_SOAKED_ROSE,B,Ancient Relic,Shared,shared,"Upon pickup, add [blue]1[/blue] [red]Enthralled[/red] to your [gold]Deck[/gold]. Gain [energy:1] at the start of each turn.",Standard relic. Evaluate based on deck needs.
Bone Flute,BONE_FLUTE,A,Common Relic,Shared,necrobinder,"Whenever [gold]Osty[/gold] attacks, gain [blue]2[/blue] [gold]Block[/gold].",Osty attacks = 2 Block. Free Block every turn.
Bone Tea,BONE_TEA,B,Event Relic,Shared,shared,"At the start of the next [blue]2[/blue] combats, [gold]Upgrade[/gold] your starting hand.",Standard relic. Evaluate based on deck needs.
Book Repair Knife,BOOK_REPAIR_KNIFE,A,Uncommon Relic,Shared,necrobinder,"Whenever a non-Minion enemy dies to [gold]Doom[/gold], heal [green]3[/green] HP.",Doom kills heal 3. Sustain for 66 HP character.
Book of Five Rings,BOOK_OF_FIVE_RINGS,B,Common Relic,Shared,shared,"Every [blue]5[/blue] cards you add to your [gold]Deck[/gold], heal [green]15[/green] HP.",Standard relic. Evaluate based on deck needs.
Bookmark,BOOKMARK,B,Rare Relic,Shared,necrobinder,"At the end of each turn, lower the cost of a random [gold]Retained[/gold] card by [blue]1[/blue] until played.",End turn: random Retained card -1 cost. Retain builds.
Booming Conch,BOOMING_CONCH,B,Ancient Relic,Shared,shared,"At the start of [gold]Elite[/gold] combats, draw [blue]2[/blue] additional cards.",Standard relic. Evaluate based on deck needs.
Bound Phylactery,BOUND_PHYLACTERY,A,Starter Relic,Shared,necrobinder,"At the start of your turn, [gold]Summon[/gold] [blue]1[/blue].",Starter. Summon 1 at turn start. Early board presence.
Bowler Hat,BOWLER_HAT,B,Uncommon Relic,Shared,shared,Gain [blue]20%[/blue] additional [gold]Gold[/gold].,Standard relic. Evaluate based on deck needs.
Bread,BREAD,B,Shop Relic,Shared,shared,"At the start of your first turn, lose [energy:2]. At the start of all other turns, gain [energy:1].",Standard relic. Evaluate based on deck needs.
Brilliant Scarf,BRILLIANT_SCARF,B,Ancient Relic,Shared,shared,The [blue]5th[/blue] card you play each turn is free.,Standard relic. Evaluate based on deck needs.
Brimstone,BRIMSTONE,C,Shop Relic,Shared,ironclad,"At the start of your turn, gain [blue][SelfStrength][/blue] [gold]Strength[/gold] and ALL enemies gain [blue][EnemyStrength][/blue] [gold]Strength[/gold].",RISKY: +2 Str but enemies +1 Str. Only if you kill fast. Skip on Necrobinder.
Bronze Scales,BRONZE_SCALES,B,Common Relic,Shared,shared,Start each combat with [blue]3[/blue] [gold]Thorns[/gold].,Take attack damage = deal 3 back. Thorns effect.
Burning Blood,BURNING_BLOOD,A,Starter Relic,Shared,ironclad,"At the end of combat, heal [green]6[/green] HP.",Starter. Heal 6 HP after combat. Most forgiving start.
Burning Sticks,BURNING_STICKS,B,Shop Relic,Shared,shared,"The first time each combat you [gold]Exhaust[/gold] a Skill, add a copy of it into your [gold]Hand[/gold].",Standard relic. Evaluate based on deck needs.
Byrdpip,BYRDPIP,B,Event Relic,Shared,shared,"Upon pickup, gain the card [gold]Byrd Swoop[/gold]. A [gold]Byrdpip[/gold] will accompany you in battles.",Standard relic. Evaluate based on deck needs.
Calling Bell,CALLING_BELL,D,Ancient Relic,Shared,shared,"Upon pickup, obtain a unique [red]Curse[/red] and [blue]3[/blue] [gold]Relics[/gold].",TRAP: 3 relics + curse. Bad relic worse than no relic.
Candelabra,CANDELABRA,B,Uncommon Relic,Shared,shared,"At the start of your [blue]2nd[/blue] turn, gain [energy:2].",Standard relic. Evaluate based on deck needs.
Captain's Wheel,CAPTAINS_WHEEL,B,Rare Relic,Shared,shared,"At the start of your [blue]3rd[/blue] turn, gain [blue]18[/blue] [gold]Block[/gold].",Turn 3 = 18 Block. Strong defensive milestone.
Cauldron,CAULDRON,B,Shop Relic,Shared,shared,"Upon pickup, brews [blue]5[/blue] random potions.",5 random potions on pickup. Immediate burst.
Centennial Puzzle,CENTENNIAL_PUZZLE,B,Common Relic,Shared,shared,"The first time you lose HP each combat, draw [blue]3[/blue] cards.",Standard relic. Evaluate based on deck needs.
Chandelier,CHANDELIER,B,Rare Relic,Shared,shared,"At the start of your [blue]3rd[/blue] turn, gain [energy:3].",Standard relic. Evaluate based on deck needs.
Charon's Ashes,CHARONS_ASHES,A,Rare Relic,Shared,ironclad,"Whenever you [gold]Exhaust[/gold] a card, deal [blue]3[/blue] damage to ALL enemies.",Exhaust deals 3 AoE. Defines Exhaust archetype.
Chemical X,CHEMICAL_X,A,Shop Relic,Shared,shared,The effects of your cost [blue]X[/blue] cards are increased by [blue]2[/blue].,X-cost +2 effect. Only if you have X-cost cards.
Choices Paradox,CHOICES_PARADOX,B,Ancient Relic,Shared,shared,"At the start of each combat, add [blue]1[/blue] of [blue]5[/blue] random cards into your [gold]Hand[/gold]. Add [gold]Retain[/gold] to the chosen card.",Standard relic. Evaluate based on deck needs.
Circlet,CIRCLET,B,None,Shared,shared,It's a circlet.,Standard relic. Evaluate based on deck needs.
Claws,CLAWS,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Transform[/gold] up to [blue]6[/blue] cards into [gold]Maul[/gold].",Standard relic. Evaluate based on deck needs.
Cloak Clasp,CLOAK_CLASP,B,Rare Relic,Shared,shared,"At the end of your turn, gain [blue]1[/blue] [gold]Block[/gold] for each card in your [gold]Hand[/gold].",Standard relic. Evaluate based on deck needs.
Cracked Core,CRACKED_CORE,A,Starter Relic,Shared,defect,"At the start of each combat, [gold]Channel[/gold] [blue]1[/blue] [gold]Lightning[/gold].",Starter. Channel 1 Lightning at start. Free head start.
Crossbow,CROSSBOW,B,Ancient Relic,Shared,shared,"At the start of your turn, add a random [gold]Attack[/gold] into your [gold]Hand[/gold]. It costs [blue]0[/blue][energy:1] this turn.",Standard relic. Evaluate based on deck needs.
Cursed Pearl,CURSED_PEARL,B,Ancient Relic,Shared,shared,"Upon pickup, receive [red]Greed[/red]. Gain [blue]333[/blue] [gold]Gold[/gold].",Standard relic. Evaluate based on deck needs.
Darkstone Periapt,DARKSTONE_PERIAPT,A,Event Relic,Shared,shared,"Whenever you obtain a [red]Curse[/red], raise your Max HP by [blue]6[/blue].",Curse = +6 Max HP. Curse strategy enabler.
Data Disk,DATA_DISK,S,Common Relic,Shared,defect,Start each combat with [blue]1[/blue] [gold]Focus[/gold].,Start with 1 Focus. Improves every Orb passively.
Daughter of the Wind,DAUGHTER_OF_THE_WIND,B,Event Relic,Shared,shared,"Whenever you play an Attack, gain [blue]1[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Delicate Frond,DELICATE_FROND,B,Ancient Relic,Shared,shared,"At the start of each combat, fill all empty potion slots with random potions.",Standard relic. Evaluate based on deck needs.
Demon Tongue,DEMON_TONGUE,S,Rare Relic,Shared,ironclad,"The first time you lose HP on your turn, heal HP equal to the amount lost.","Self-damage heals you. Perfect with Hemokinesis, Breakthrough."
Diamond Diadem,DIAMOND_DIADEM,B,Ancient Relic,Shared,shared,"Whenever you play [blue]2[/blue] or fewer cards in a turn, take half damage from enemies.",Standard relic. Evaluate based on deck needs.
Dingy Rug,DINGY_RUG,B,Shop Relic,Shared,shared,Card rewards can now contain Colorless cards.,Standard relic. Evaluate based on deck needs.
Distinguished Cape,DISTINGUISHED_CAPE,B,Ancient Relic,Shared,shared,"Upon pickup, lose [red]9[/red] Max HP. Add [blue]3[/blue] [gold]Apparitions[/gold] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Divine Destiny,DIVINE_DESTINY,S,Starter Relic,Shared,regent,"At the start of each combat, gain [star:6].",Upgrade. 6 Stars at combat start. Huge head start.
Divine Right,DIVINE_RIGHT,A,Starter Relic,Shared,regent,"At the start of each combat, gain [star:3].",Starter. 3 Stars at combat start. Stars carry over!
Dolly's Mirror,DOLLYS_MIRROR,A,Shop Relic,Shared,shared,"Upon pickup, obtain an additional copy of a card in your [gold]Deck[/gold].",Copy a card on pickup. Double your best card.
Dragon Fruit,DRAGON_FRUIT,B,Shop Relic,Shared,shared,"Whenever you gain [gold]Gold[/gold], raise your Max HP by [blue]1[/blue].",Gain Gold = +1 Max HP. Scales with gold events.
Dream Catcher,DREAM_CATCHER,B,Event Relic,Shared,shared,"Whenever you [gold]Rest[/gold], you may add a card to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Driftwood,DRIFTWOOD,B,Ancient Relic,Shared,shared,You may reroll each card reward once.,Standard relic. Evaluate based on deck needs.
Dusty Tome,DUSTY_TOME,B,Ancient Relic,Shared,shared,"Upon pickup, obtain an [gold]Ancient Card[/gold].",Standard relic. Evaluate based on deck needs.
Ectoplasm,ECTOPLASM,B,Ancient Relic,Shared,shared,You can no longer gain [gold]Gold[/gold]. Gain [energy:1] at the start of each turn.,Standard relic. Evaluate based on deck needs.
Electric Shrymp,ELECTRIC_SHRYMP,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Enchant[/gold] a Skill with [purple]Imbued[/purple].",Standard relic. Evaluate based on deck needs.
Ember Tea,EMBER_TEA,B,Event Relic,Shared,shared,"At the start of the next [blue]2[/blue] combats, gain [blue]2[/blue] [gold]Strength[/gold].",Standard relic. Evaluate based on deck needs.
Emotion Chip,EMOTION_CHIP,A,Rare Relic,Shared,defect,"If you lost HP during the previous turn, trigger the passive ability of all Orbs at the start of your turn.","If lost HP last turn, trigger all Orb passives. Reward for damage."
Empty Cage,EMPTY_CAGE,A,Ancient Relic,Shared,shared,"Upon pickup, remove [blue]2[/blue] cards from your [gold]Deck[/gold].",Remove 2 cards on pickup. Deck thinning.
Eternal Feather,ETERNAL_FEATHER,C,Uncommon Relic,Shared,shared,"For every [blue]5[/blue] cards in your [gold]Deck[/gold], heal [green]3[/green] HP whenever you enter a [gold]Rest Site[/gold].",Rest sites = +3 HP per 5 cards in deck. Minor.
