name,id,cost,type,rarity,description,keywords,tags,damage,block,upgrade
Abrasive,ABRASIVE,3,Power,Rare,"Gain 1 [gold]Dexterity[/gold].
Gain 4 [gold]Thorns[/gold].",Sly,,,,"{""thornspower"": ""+2""}"
Accelerant,ACCELERANT,1,Power,Rare,[gold]Poison[/gold] is triggered 1 additional time.,,,,,"{""accelerant"": ""+1""}"
Accuracy,ACCURACY,1,Power,Uncommon,[gold]Shivs[/gold] deal 4 additional damage.,,,,,"{""accuracypower"": ""+2""}"
Acrobatics,ACROBATICS,1,Skill,Common,"Draw 3 cards.
Discard 1 card.",,,,,"{""cards"": ""+1""}"
Adrenaline,ADRENALINE,0,Skill,Rare,"Gain [energy:1].
Draw 2 cards.",Exhaust,,,,"{""energy"": ""+1""}"
Afterimage,AFTERIMAGE,1,Power,Rare,"Whenever you play a card, gain 1 [gold]Block[/gold].",,,,,"{""add_innate"": 1}"
Anticipate,ANTICIPATE,0,Skill,Common,Gain 3 [gold]Dexterity[/gold] this turn.,,,,,"{""dexterity"": ""+2""}"
Assassinate,ASSASSINATE,0,Attack,Rare,"Deal 10 damage.
Apply 1 [gold]Vulnerable[/gold].",Exhaust|Innate,,10,,"{""damage"": ""+3"", ""vulnerable"": ""+1""}"
Backflip,BACKFLIP,1,Skill,Common,"Gain 5 [gold]Block[/gold].
Draw 2 cards.",,,,5,"{""block"": ""+3""}"
Backstab,BACKSTAB,0,Attack,Uncommon,Deal 11 damage.,Exhaust|Innate,,11,,"{""damage"": ""+4""}"
Blade Dance,BLADE_DANCE,1,Skill,Common,Add 3 [gold]Shivs[/gold] into your [gold]Hand[/gold].,Exhaust,,,,"{""cards"": ""+1""}"
Blade of Ink,BLADE_OF_INK,1,Skill,Rare,"This turn, whenever you play an Attack, gain 2 [gold]Strength[/gold] this turn.",,,,,"{""strength"": ""+1""}"
Blur,BLUR,1,Skill,Uncommon,"Gain 5 [gold]Block[/gold].
[gold]Block[/gold] is not removed at the start of your next turn.",,,,5,"{""block"": ""+3""}"
Bouncing Flask,BOUNCING_FLASK,2,Skill,Uncommon,Apply 3 [gold]Poison[/gold] to a random enemy 3 times.,,,,,"{""repeat"": ""+1""}"
Bubble Bubble,BUBBLE_BUBBLE,1,Skill,Uncommon,"If the enemy has [gold]Poison[/gold], apply 9 [gold]Poison[/gold].",,,,,"{""poison"": ""+3""}"
Bullet Time,BULLET_TIME,3,Skill,Rare,You cannot draw additional cards this turn. ALL cards in your [gold]Hand[/gold] are free to play this turn.,,,,,"{""cost"": 2}"
Burst,BURST,1,Skill,Rare,"This turn, your next Skill is played an extra time.",,,,,"{""skills"": ""+1""}"
Calculated Gamble,CALCULATED_GAMBLE,0,Skill,Uncommon,"Discard your [gold]Hand[/gold],
then draw that many cards.",Exhaust,,,,"{""add_retain"": 1}"
