name,id,type,description,keywords
Ascender's Bane,ASCENDERS_BANE,Curse,,Ethereal|Unplayable|Eternal
Bad Luck,BAD_LUCK,Curse,"At the end of your turn, if this is in your Hand, lose 13 HP.",Unplayable|Eternal
Beckon,BECKON,Status,"At the end of your turn, if this is in your [gold]Hand[/gold],
 lose 6 HP.",
Burn,BURN,Status,"At the end of your turn, if this is in your [gold]Hand[/gold], take 2 damage.",Unplayable
Clumsy,CLUMSY,Curse,,Ethereal|Unplayable
Curse of the Bell,CURSE_OF_THE_BELL,Curse,,Unplayable|Eternal
Dazed,DAZED,Status,,Ethereal|Unplayable
Debris,DEBRIS,Status,,Exhaust
Debt,DEBT,Curse,"At the end of your turn, if this is in your [gold]Hand[/gold], lose 10 [gold]Gold[/gold].",Unplayable
Decay,DECAY,Curse,"At the end of your turn, if this is in your [gold]Hand[/gold], take 2 damage.",Unplayable
Disintegration,DISINTEGRATION,Status,"At the end of your turn, take 6 damage.",
Doubt,DOUBT,Curse,"At the end of your turn, if this is in your [gold]Hand[/gold], gain 1 [gold]Weak[/gold].",Unplayable
Enthralled,ENTHRALLED,Curse,"If this is in your [gold]Hand[/gold], it must be played before other cards.",Eternal
Folly,FOLLY,Curse,,Innate|Unplayable|Eternal
Frantic Escape,FRANTIC_ESCAPE,Status,"Get farther away.
Increase [gold]Sandpit[/gold] by 1.
Increase the cost of this card by 1.",
Greed,GREED,Curse,,Unplayable|Eternal
Guilty,GUILTY,Curse,Removed from your [gold]Deck[/gold] after 5 combats.,Unplayable
Infection,INFECTION,Status,"At the end of your turn, if this is in your [gold]Hand[/gold], take 3 damage.",Unplayable
Injury,INJURY,Curse,,Unplayable
Mind Rot,MIND_ROT,Status,Draw 1 fewer card each turn.,
Normality,NORMALITY,Curse,You cannot play more than 3 cards this turn.,Unplayable
Poor Sleep,POOR_SLEEP,Curse,,Retain|Unplayable
Regret,REGRET,Curse,"At the end of your turn, if this is in your [gold]Hand[/gold], lose 1 HP for each card in your [gold]Hand[/gold].",Unplayable
Shame,SHAME,Curse,"At the end of your turn, if this is in your [gold]Hand[/gold], gain 1 [gold]Frail[/gold].",Unplayable
Slimed,SLIMED,Status,Draw 1 card.,Exhaust
Sloth,SLOTH,Status,You cannot play more than 3 cards each turn.,
Soot,SOOT,Status,,Unplayable
Spore Mind,SPORE_MIND,Curse,,Exhaust
Toxic,TOXIC,Status,"At the end of your turn, if this is in your [gold]Hand[/gold], take 5 damage.",Exhaust
Void,VOID,Status,"Whenever you draw this card, lose [energy:1].",Ethereal|Unplayable
Waste Away,WASTE_AWAY,Status,Gain 1 less [energy:1] per turn.,
Wound,WOUND,Status,,Unplayable
Writhe,WRITHE,Curse,,Innate|Unplayable
